Question,A,B,C,D,Answer,Explanation,Topic
Which of the following is not part of the detector system?,Rectifier,Envelope detector,Amplifier,AM wave,C,"The amplifier is a part of the receiver system, of which, the detector is a part of. But, the detector system alone consists of the rectifier, envelope detector, and obviously the amplitude-modulated wave that passes through it.",Physics
Which one of the following is the process of recovering the modulated signal?,Amplification,Detection,Attenuation,Transmission,B,"Detection is the process of recovering the modulating signal from the modulated carrier wave. The transmitted message gets attenuated in propagating through the channel. The receiving antenna is, therefore, to be followed by an amplifier and a detector. The detected signal may not be strong enough to be made use of and hence is required to be amplified.",Physics
Which among the following can be detected by an envelope detector?,Low frequency AM waves,Very low frequency AM waves,Envelope detectors cannot detect AM waves,High frequency AM waves,D,An envelope detector is used to detect high-frequency amplitude modulated (AM) waves. It takes high-level AM waves as input and then provides an output that can be considered as an envelope of the original signal. An envelope detector may consist of a simple RC circuit.,Physics
Solid-state is denser than the liquid and gaseous states of the same substance Which of the following is an exception to this rule?,Mercury,Carbon dioxide (dry ice,Ice,NaCl,C,The density of ice is about 0.92 g/cm,Chemistry
Which of the following can be used to describe a crystalline solid?,"Heterogeneous, anisotropic","Homogeneous, anisotropic","Heterogeneous, isotropic","Homogeneous, isotropic",B,"Homogeneity refers to uniformity in composition, which is a characteristic property of crystalline solids. Isotropy is when the values of physical properties do not change with direction throughout the body of the solid. Crystalline solids are anisotropic because the composition of the solid changes with direction, hence the physical properties also change with direction.",Chemistry
"When a single substance can crystallize in two or more forms under different conditions provided, it is called as _________",Polymorphous,Isomorphous,Semimorphous,Multimorphous,A,Isomorphous is when two or more substances have the same crystal structure. Polymorphous is when a single substance can crystallize in two or more forms depending upon the conditions.,Chemistry
Which of the following is an amorphous solid?,Quartz,Quartz glass,Graphite,Salt (NaCl,B,"Quartz glass does not have a perfectly ordered structure, hence it is classified as an amorphous solid. The rest are crystalline solids due to ordered structures.",Chemistry
"Which type of solid structure melts at a definite, sharp melting point?",All types of solids,No type of solid,Amorphous solids,Crystalline solids,D,"Crystalline solids have a perfectly ordered structure which collapses immediately at a specific temperature. Amorphous solids melt over a range of temperatures, not one specific value.",Chemistry
Which of the following describes a general solid?,Compressible,Incompressible,Fluid,Semi-compressible,B,"The intermolecular forces of attraction in a solid are very strong, making it incompressible. Gases are highly compressible, while liquids are semi-compressible. Fluid is a property of a substance that can ‘flow’.",Chemistry
_________ is the basic repeated structural unit of a crystalline solid,Monomer,Molecule,Unit cell,Atom,C,"Crystalline solids are composed of many small crystals, each of which is called a unit cell. It is a specific term. Monomer is the basic unit for a polymer, and atoms make up molecules, which can further arrange themselves to form solids, liquids or gases.",Chemistry
Which of the following statements is true for an amorphous solid?,Long range order is present,Short range order is present,There is no orderly arrangement,Complete order is present at lower temperatures,B,For an amorphous solid there is short range order present which is independent of the temperature. Long range order is present in crystalline solids.,Chemistry
Sulfur exists in two polymorphic forms ____________ and ______________,rhombic and monoclinic,rhombic and triclinic,hexagonal and triclinic,hexagonal and monoclinic,A,"There are two polymorphous structures of sulfur, rhombic and monoclinic. Polymorphous structures occur when a single substance can crystallize in two or more forms depending upon the conditions.",Chemistry
